50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,2.445921,,,,,,,,,,,,,,,307b48fe-e753-40a5-a079-13aa7fd92e52,4103,,"[34.3, 41.2]",3869685,111,,,,-1.4322948,,Head,,,"[36.6, 24.7]",,High Pass,,16.659533,,,Dayotchanculle Upamecano,,,,,Recovery,4,Regular Play,Raphaël Varane,5485.0,Right Center Back,231,France,771,"['37f2e975-4972-4cbd-8155-1cef903b4a17', 'de22222b-fc67-4b90-bad7-a9cfcf8faf44']",19,,,,,,,,,,,,,,,France,771,00:06:19.260,Pass,
,,,,,,,,,,,,,,,,,,,,2.611413,,,,,,,,,,,,,,,8417722a-eecc-4740-9b40-a4e783dd06b4,4107,,"[34.9, 22.8]",3869685,111,,,,2.4577546,,Left Foot,,,"[17.6, 36.9]",,High Pass,,22.318153,,,Hugo Lloris,,,,,,4,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,231,France,771,['887b00b4-e1c2-4175-b866-47246059bd4b'],21,,,,,,,,,,,,,,,France,771,00:06:21.856,Pass,
,,,,,,,,,,,,,,,,,,,,2.32022,,,,,,,,,,,,,,,db200ca2-d6b6-42ac-a3dd-c29edb337b28,4110,,"[17.6, 36.9]",3869685,111,,,,-0.90975314,,Keeper Arm,,,"[43.5, 3.6]",,Low Pass,,42.18649,,,Eduardo Camavinga,,,,,,4,Regular Play,Hugo Lloris,3099.0,Goalkeeper,231,France,771,['5e5b47e7-bed6-44b9-ac6f-04749b82aae0'],26,,,,,,,,,,,,,,,France,771,00:06:26.665,Pass,
,,,,,,,,,,,,,,,,,,,,1.010369,,,,,,,,,,,,,,,4571a19d-0043-4582-b34a-da79405b859c,4113,,"[46.3, 6.6]",3869685,111,,,,1.0933156,,Left Foot,,,"[56.7, 26.7]",,Ground Pass,,22.631174,,,Youssouf Fofana,,,,,,4,Regular Play,Eduardo Camavinga,24778.0,Left Back,231,France,771,['19746129-61bb-4b90-b829-3abdd8e11f98'],30,,,,,,,,,,,,,,,France,771,00:06:30.693,Pass,
,,,,,,,,,,,,,,,,,,,,1.440934,,,,,,,,,,,,,,,0150c849-fb34-4726-a0d1-efca922f704f,4119,,"[41.8, 48.5]",3869685,111,,,,-2.5186837,,Right Foot,,,"[34.7, 43.4]",,Ground Pass,,8.741854,,,Nicolás Hernán Otamendi,,,,,Recovery,4,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,232,Argentina,779,['a3270350-1230-4017-897a-27ce567ee325'],35,,,,,,,,,,,,,,,Argentina,779,00:06:35.937,Pass,
,,,,,,,,,,,,,,,,,,,,0.625552,,,,,,,,,,,,,,,c53c761b-35da-4a0d-9e3d-5ce8d3eb976d,4121,,"[34.5, 43.2]",3869685,111,,,,0.0,,Right Foot,,,"[43.9, 43.2]",,Ground Pass,,9.4,,,Alexis Mac Allister,,,,,,4,Regular Play,Nicolás Hernán Otamendi,3090.0,Left Center Back,232,Argentina,779,['d48db0a0-01db-42df-a037-54ead9c15e7f'],37,,,,,,,,,,,,,,,Argentina,779,00:06:37.378,Pass,
,,,,,,,,,,,,,,,,,,,,0.656898,,,,,,,,,,,,,,,865f59dc-ac06-4d8e-a573-8d428ffd8d7c,4124,,"[53.7, 47.2]",3869685,111,,,,1.8076451,,Right Foot,,,"[50.9, 58.8]",,Ground Pass,,11.933147,,,Enzo Fernandez,,,,,,4,Regular Play,Alexis Mac Allister,27886.0,Left Center Midfield,232,Argentina,779,['af75d082-f5e2-4713-84f5-4369b19e756b'],41,,,,,,,,,,,,,,,Argentina,779,00:06:41.604,Pass,
,,,,,,,,,,,,,,,,,,,,4.556961,,,,,,,,,,,,,,,6f3e2178-92ff-4b97-825c-d66c0f6df361,4127,,"[49.7, 57.9]",3869685,111,,,,-1.1427069,,Right Foot,,,"[73.2, 6.4]",,High Pass,,56.608303,,,Marcos Javier Acuña,,True,,,,4,Regular Play,Enzo Fernandez,38718.0,Right Center Midfield,232,Argentina,779,"['19fb1201-da38-4d25-87dc-0518b524f206', 'd5238cda-859d-4bc0-933f-a5d1ab6030c3']",42,,,,,,,,,,,,,,,Argentina,779,00:06:42.261,Pass,True
,,,,,,,,,,,,,,,,,,,,1.290882,,,,,,,,,,,,,,,f9166350-0075-466f-b12c-84e9ff15fe00,4130,,"[75.3, 5.7]",3869685,111,,,,1.0427219,,Left Foot,,,"[83.7, 20.1]",,Ground Pass,,16.670933,,,Lautaro Javier Martínez,,,,,,4,Regular Play,Marcos Javier Acuña,19597.0,Left Wing,232,Argentina,779,['fa7b48c2-2f5f-43c4-a2fb-337c1fc7e06f'],48,,,,,,,,,,,,,,,Argentina,779,00:06:48.748,Pass,
,,,,,,,,,,,,,,,,,,,,0.436832,,,,,,,,,,,,,,,fcb39cff-ba0d-4c52-a7be-bab164061c3d,4138,,"[3.3, 68.6]",3869685,111,,,,1.3590648,,Right Foot,,,"[5.6, 79.3]",,Ground Pass,,10.944405,Out,,,,,,,,4,Regular Play,Raphaël Varane,5485.0,Right Center Back,232,Argentina,779,,55,,,,,,,,,,,,,,,France,771,00:06:55.869,Pass,
,,,,,,,,,,,,,,,,,,,,0.254244,,,,,,,,,,,,,,,6fb7f090-9f9e-4cef-9834-d31f06434299,4140,,"[115.8, 0.1]",3869685,112,True,,,1.5707964,,,,,"[115.8, 9.6]",,Low Pass,,9.5,,,Lautaro Javier Martínez,,,,,Throw-in,4,From Throw In,Marcos Javier Acuña,19597.0,Left Wing,233,Argentina,779,['962e32ec-6eb5-4362-8c8a-7a7a9ba74fae'],33,,,,,,,,,,,,,,,Argentina,779,00:07:33.186,Pass,
,,,,,,,,,,,,,,,,,,,,0.272897,,,,,,,,,,,,,,,53561fbe-4d68-4bf3-b6b8-da9ccc2384a6,4143,,"[118.5, 4.0]",3869685,112,,,,2.1498706,,Right Foot,,,"[116.8, 6.6]",,Ground Pass,,3.1064448,Incomplete,,,,,,,,4,From Throw In,Lautaro Javier Martínez,11456.0,Center Forward,233,Argentina,779,['fe162eda-4118-4beb-94da-48d5ba248e8c'],38,,,,,,,,,,,,,,,Argentina,779,00:07:38.758,Pass,
,,,,,,,,,,,,,,,,,,,,1.326594,,,,,,,,,,,,,,,8b715037-be14-4141-9dab-fc56e263ab18,4145,,"[114.9, 0.1]",3869685,112,,,,1.4692945,,,,,"[116.0, 10.9]",,Low Pass,,10.855874,,,Lautaro Javier Martínez,,,,,Throw-in,4,From Throw In,Marcos Javier Acuña,19597.0,Left Wing,234,Argentina,779,['c55820e5-085f-4b15-b82f-f7f1e09201e4'],54,,,,,,,,,,,,,,,Argentina,779,00:07:54.250,Pass,
